epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,2508.89,0.50125,0.2066,0.00189,0.89461,0.88745,0.90529,0.7198,0.66988,0.49563,0.00344,0.000293739,0.000293739,0.000293739
181,2522.61,0.49968,0.20444,0.00188,0.90713,0.89224,0.89887,0.70917,0.67678,0.52308,0.00349,0.000292838,0.000292838,0.000292838
182,2536.54,0.50502,0.20357,0.00193,0.90325,0.89025,0.90181,0.71414,0.67873,0.51449,0.00348,0.000291937,0.000291937,0.000291937
183,2550.08,0.51045,0.20311,0.0019,0.88596,0.90095,0.89867,0.71295,0.68901,0.50825,0.00356,0.000291036,0.000291036,0.000291036
184,2563.73,0.49903,0.19901,0.00188,0.90826,0.90559,0.91446,0.72142,0.6945,0.49792,0.0036,0.000290135,0.000290135,0.000290135
185,2577.26,0.49595,0.19683,0.00188,0.90804,0.89732,0.90937,0.72273,0.68289,0.49058,0.00354,0.000289234,0.000289234,0.000289234
186,2591.23,0.5003,0.20015,0.00182,0.8939,0.90265,0.90499,0.71964,0.68368,0.50251,0.00352,0.000288333,0.000288333,0.000288333
187,2607.23,0.48892,0.19536,0.00181,0.91401,0.90098,0.90824,0.71932,0.68768,0.52094,0.00356,0.000287433,0.000287433,0.000287433
188,2620.77,0.4993,0.19864,0.00188,0.87303,0.90142,0.89637,0.71242,0.6878,0.50159,0.00358,0.000286532,0.000286532,0.000286532
189,2636.58,0.49532,0.19492,0.00185,0.89878,0.88529,0.90157,0.71354,0.68295,0.52861,0.00351,0.000285631,0.000285631,0.000285631
190,2650.19,0.48305,0.19752,0.00185,0.89029,0.90284,0.90541,0.71991,0.68115,0.53407,0.00349,0.00028473,0.00028473,0.00028473
191,2663.88,0.49474,0.19843,0.00184,0.8926,0.88369,0.90125,0.71308,0.68634,0.52737,0.00353,0.000283829,0.000283829,0.000283829
192,2677.67,0.48237,0.19139,0.00181,0.89348,0.87469,0.89839,0.70634,0.68598,0.53346,0.00353,0.000282928,0.000282928,0.000282928
193,2691.16,0.49322,0.19908,0.00183,0.88173,0.87368,0.89684,0.71467,0.68743,0.52264,0.00358,0.000282027,0.000282027,0.000282027
194,2704.94,0.48217,0.19443,0.0018,0.90994,0.8962,0.90534,0.71764,0.68538,0.50448,0.00354,0.000281126,0.000281126,0.000281126
195,2718.63,0.48349,0.1888,0.00181,0.88926,0.89154,0.8957,0.70745,0.68911,0.51958,0.00354,0.000280225,0.000280225,0.000280225
196,2732.37,0.48245,0.18785,0.00181,0.87672,0.89144,0.88711,0.70528,0.67773,0.52677,0.00347,0.000279325,0.000279325,0.000279325
197,2746.31,0.48637,0.19282,0.00183,0.90368,0.89041,0.89686,0.71055,0.67913,0.52502,0.00348,0.000278424,0.000278424,0.000278424
198,2760.17,0.48676,0.18792,0.00185,0.89916,0.89402,0.89885,0.71498,0.68897,0.53538,0.00356,0.000277523,0.000277523,0.000277523
199,2773.75,0.47886,0.1936,0.00178,0.8828,0.87696,0.89374,0.71205,0.68631,0.52654,0.00354,0.000276622,0.000276622,0.000276622
200,2787.56,0.48234,0.19204,0.00181,0.90803,0.89034,0.90318,0.71781,0.68533,0.48708,0.00356,0.000275721,0.000275721,0.000275721
201,2800.84,0.48931,0.19825,0.00183,0.8732,0.89323,0.89,0.70886,0.68107,0.5306,0.00352,0.00027482,0.00027482,0.00027482
202,2814.9,0.47946,0.19548,0.00181,0.89163,0.8878,0.89238,0.70609,0.69101,0.51787,0.00355,0.000273919,0.000273919,0.000273919
203,2828.56,0.48188,0.19212,0.00181,0.90309,0.89068,0.90728,0.71927,0.68573,0.50248,0.00354,0.000273018,0.000273018,0.000273018
204,2842.37,0.48073,0.19573,0.00181,0.89011,0.88672,0.89981,0.71235,0.67939,0.51357,0.00349,0.000272117,0.000272117,0.000272117
205,2855.98,0.47698,0.19313,0.0018,0.88849,0.89556,0.8947,0.70982,0.67704,0.52208,0.00348,0.000271216,0.000271216,0.000271216
206,2869.78,0.47752,0.18848,0.00175,0.8955,0.90227,0.90669,0.71493,0.68946,0.5014,0.00356,0.000270316,0.000270316,0.000270316
207,2883.53,0.47794,0.19217,0.00178,0.88382,0.89007,0.89772,0.71018,0.68528,0.50552,0.00353,0.000269415,0.000269415,0.000269415
208,2897.42,0.48324,0.19847,0.00181,0.88437,0.89665,0.89877,0.71844,0.67737,0.50945,0.00349,0.000268514,0.000268514,0.000268514
209,2911.02,0.46646,0.18943,0.00174,0.90019,0.89018,0.90446,0.71745,0.67753,0.50574,0.00349,0.000267613,0.000267613,0.000267613
210,2924.85,0.46691,0.18154,0.00172,0.88559,0.91292,0.90245,0.71197,0.67649,0.49225,0.00347,0.000266712,0.000266712,0.000266712
211,2938.75,0.46706,0.18094,0.00173,0.91616,0.87071,0.90267,0.71258,0.67518,0.52081,0.00346,0.000265811,0.000265811,0.000265811
212,2952.25,0.47007,0.18479,0.00174,0.89713,0.89348,0.90838,0.72249,0.6711,0.50852,0.00345,0.00026491,0.00026491,0.00026491
213,2966.15,0.46147,0.17783,0.00169,0.89629,0.88948,0.90252,0.7187,0.67272,0.52637,0.00345,0.000264009,0.000264009,0.000264009
214,2979.71,0.46255,0.1821,0.00173,0.88895,0.91165,0.91623,0.72904,0.67309,0.48068,0.00346,0.000263108,0.000263108,0.000263108
215,2993.51,0.45487,0.1717,0.00172,0.8892,0.90932,0.91404,0.7254,0.67382,0.5069,0.00347,0.000262207,0.000262207,0.000262207
216,3007.16,0.46077,0.18869,0.00174,0.88647,0.90487,0.91096,0.72517,0.66399,0.51075,0.00341,0.000261307,0.000261307,0.000261307
217,3020.55,0.46381,0.18193,0.00171,0.89615,0.8824,0.88674,0.70449,0.67351,0.56393,0.00344,0.000260406,0.000260406,0.000260406
218,3034.17,0.45978,0.17606,0.00167,0.89452,0.9011,0.90082,0.71649,0.67405,0.50811,0.00349,0.000259505,0.000259505,0.000259505
219,3047.52,0.45903,0.18187,0.00173,0.89028,0.87792,0.89159,0.70936,0.68003,0.54699,0.00352,0.000258604,0.000258604,0.000258604
220,3061.07,0.46351,0.17906,0.00171,0.88988,0.88992,0.90058,0.71358,0.67581,0.52894,0.00348,0.000257703,0.000257703,0.000257703
221,3074.43,0.46537,0.18681,0.00171,0.89982,0.88181,0.89873,0.71399,0.67193,0.54449,0.00344,0.000256802,0.000256802,0.000256802
222,3088.09,0.46095,0.17588,0.00169,0.90118,0.885,0.89026,0.71136,0.66894,0.54752,0.00342,0.000255901,0.000255901,0.000255901
223,3101.34,0.45434,0.17828,0.0017,0.90764,0.87625,0.89801,0.7141,0.6754,0.52588,0.00348,0.000255,0.000255,0.000255
224,3115.08,0.46189,0.18293,0.00174,0.9033,0.88681,0.90392,0.71489,0.67561,0.52459,0.00347,0.000254099,0.000254099,0.000254099
