epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,609.255,0.71676,0.41686,0.00277,0.86615,0.88059,0.89869,0.70183,0.7205,0.49202,0.00381,0.000418063,0.000418063,0.000418063
43,622.847,0.70136,0.39266,0.00269,0.88555,0.86952,0.90449,0.71102,0.71166,0.5296,0.00374,0.000417162,0.000417162,0.000417162
44,636.429,0.6957,0.36965,0.00265,0.87457,0.86666,0.89415,0.70684,0.69006,0.51398,0.00358,0.000416261,0.000416261,0.000416261
45,650.227,0.69856,0.37186,0.00267,0.87355,0.87161,0.9112,0.71988,0.68733,0.47506,0.00357,0.00041536,0.00041536,0.00041536
46,664.585,0.70509,0.38752,0.00273,0.86617,0.87016,0.90534,0.70456,0.71857,0.47885,0.00376,0.00041446,0.00041446,0.00041446
47,677.9,0.69752,0.39257,0.00276,0.87405,0.87506,0.91439,0.70839,0.73261,0.47448,0.00382,0.000413559,0.000413559,0.000413559
48,691.335,0.68627,0.37286,0.00265,0.89739,0.88131,0.91446,0.71816,0.71865,0.4555,0.00378,0.000412658,0.000412658,0.000412658
49,704.809,0.6907,0.38293,0.00268,0.87513,0.84823,0.88343,0.68853,0.72184,0.54326,0.00377,0.000411757,0.000411757,0.000411757
50,718.352,0.70048,0.37974,0.00268,0.85133,0.89454,0.91311,0.71996,0.69046,0.4509,0.00357,0.000410856,0.000410856,0.000410856
51,732.712,0.68301,0.36937,0.00267,0.89087,0.87308,0.90505,0.7127,0.69808,0.49016,0.00361,0.000409955,0.000409955,0.000409955
52,746.232,0.70095,0.38724,0.00272,0.88429,0.8636,0.90318,0.70627,0.72307,0.49889,0.00381,0.000409054,0.000409054,0.000409054
53,759.774,0.69863,0.37317,0.00268,0.87369,0.88968,0.91523,0.71775,0.69885,0.47793,0.0036,0.000408153,0.000408153,0.000408153
54,774.277,0.69509,0.36409,0.00266,0.85942,0.8795,0.90838,0.70516,0.69592,0.47554,0.0036,0.000407252,0.000407252,0.000407252
55,790.092,0.68152,0.34349,0.00265,0.87274,0.87462,0.9072,0.70491,0.7227,0.48031,0.00375,0.000406351,0.000406351,0.000406351
56,804.118,0.67821,0.35282,0.00261,0.88026,0.86125,0.89849,0.70464,0.71878,0.46773,0.00375,0.000405451,0.000405451,0.000405451
57,817.788,0.68451,0.35254,0.00265,0.85398,0.8593,0.88037,0.69051,0.70445,0.56129,0.00363,0.00040455,0.00040455,0.00040455
58,833.335,0.68993,0.3448,0.00265,0.89316,0.8903,0.91932,0.71716,0.70852,0.45022,0.00375,0.000403649,0.000403649,0.000403649
59,846.89,0.66518,0.33285,0.0026,0.87723,0.87214,0.89767,0.70316,0.71723,0.49918,0.00372,0.000402748,0.000402748,0.000402748
60,860.625,0.66455,0.32849,0.00256,0.88009,0.85438,0.88994,0.69565,0.69939,0.50503,0.00365,0.000401847,0.000401847,0.000401847
61,874.272,0.65799,0.33117,0.00258,0.88338,0.88465,0.91116,0.71971,0.68311,0.47588,0.00353,0.000400946,0.000400946,0.000400946
62,887.792,0.67234,0.33564,0.00259,0.87266,0.87873,0.90614,0.71085,0.69454,0.47882,0.0036,0.000400045,0.000400045,0.000400045
63,901.176,0.66495,0.33727,0.00256,0.90047,0.85523,0.89956,0.71163,0.70003,0.45925,0.00363,0.000399144,0.000399144,0.000399144
64,914.668,0.66951,0.33562,0.00259,0.86007,0.8672,0.88723,0.69305,0.72441,0.52967,0.0038,0.000398243,0.000398243,0.000398243
65,928.154,0.66648,0.31728,0.00256,0.90298,0.89629,0.92129,0.72404,0.69783,0.44157,0.00358,0.000397342,0.000397342,0.000397342
66,942.716,0.64413,0.32804,0.0025,0.86402,0.86461,0.88239,0.69071,0.7098,0.52894,0.00371,0.000396441,0.000396441,0.000396441
67,956.122,0.66151,0.34844,0.00252,0.83732,0.87322,0.87809,0.6898,0.7128,0.51822,0.00372,0.000395541,0.000395541,0.000395541
68,969.77,0.66371,0.34728,0.00254,0.87908,0.86548,0.88985,0.68667,0.7275,0.55187,0.00378,0.00039464,0.00039464,0.00039464
69,983.277,0.64671,0.31744,0.00247,0.88244,0.89962,0.91933,0.7211,0.69399,0.45946,0.0036,0.000393739,0.000393739,0.000393739
70,996.789,0.66595,0.33182,0.00256,0.87421,0.88978,0.90427,0.71006,0.68968,0.48332,0.00354,0.000392838,0.000392838,0.000392838
71,1010.21,0.6362,0.29895,0.00242,0.89616,0.88086,0.92416,0.72845,0.69235,0.46597,0.0036,0.000391937,0.000391937,0.000391937
72,1025.5,0.65266,0.31008,0.00246,0.8903,0.88051,0.90772,0.71339,0.69485,0.4868,0.00355,0.000391036,0.000391036,0.000391036
73,1039.04,0.63499,0.28412,0.00244,0.88635,0.86735,0.90835,0.71073,0.72404,0.47637,0.00379,0.000390135,0.000390135,0.000390135
74,1052.81,0.62843,0.28514,0.00239,0.8593,0.90666,0.90996,0.7217,0.69233,0.44898,0.00358,0.000389234,0.000389234,0.000389234
75,1066.45,0.6408,0.2796,0.00247,0.8797,0.87962,0.90628,0.71566,0.701,0.45557,0.00361,0.000388333,0.000388333,0.000388333
76,1080.64,0.62305,0.27851,0.00243,0.87256,0.88996,0.9007,0.70707,0.69598,0.49301,0.00362,0.000387433,0.000387433,0.000387433
77,1094.28,0.63243,0.29355,0.00238,0.89875,0.85635,0.90988,0.71308,0.70798,0.50035,0.00373,0.000386532,0.000386532,0.000386532
78,1108.76,0.63382,0.29404,0.00243,0.88125,0.88331,0.9074,0.71189,0.69404,0.46218,0.00358,0.000385631,0.000385631,0.000385631
79,1122.47,0.63136,0.30818,0.00239,0.86975,0.9059,0.91507,0.71961,0.70697,0.48114,0.00369,0.00038473,0.00038473,0.00038473
80,1135.94,0.63357,0.28819,0.00237,0.89836,0.87432,0.90992,0.7117,0.70323,0.49892,0.0037,0.000383829,0.000383829,0.000383829
81,1149.44,0.64028,0.30691,0.00251,0.87471,0.87256,0.90153,0.70489,0.70644,0.52674,0.00363,0.000382928,0.000382928,0.000382928
82,1163.07,0.63605,0.29539,0.00242,0.88328,0.90083,0.91291,0.71876,0.69002,0.48894,0.00357,0.000382027,0.000382027,0.000382027
83,1176.61,0.63365,0.3009,0.00244,0.88098,0.86783,0.9081,0.71659,0.68356,0.49787,0.00352,0.000381126,0.000381126,0.000381126
