image_id,gt_vertebrae,selected_prediction_boxes,old_IDR_correct,old_IDR_false_accepts
DR_495_s3_e15,13,13,1,0
DR_504_s2_e12,11,11,1,0
DR_508_s4_e13,10,10,10,0
DR_52_s3_e15,13,13,6,1
DR_69_s1_e12,12,12,1,0
DR_76_s4_e13,10,10,10,0
DR_82_s3_e14,12,12,7,7
DR_85_s1_e13,13,13,12,11
DR_88_s1_e13,13,13,1,0
DR_91_s3_e12,10,10,6,2
DR_97_s3_e13,11,11,10,10
DR_9_s1_e13,13,13,2,1
gq346,6,6,6,0
gq347,6,6,6,0
gq348,6,6,0,0
gq349,6,6,0,0
gq350,6,6,6,0
gq351,6,6,0,0
gq352,6,6,0,0
gq353,6,6,6,2
gq354,6,6,6,0
gq355,6,6,6,0
gq356,6,6,6,0
gq357,6,6,6,0
gq358,6,6,0,0
gq359,6,6,6,0
gq360,6,6,6,0
gq361,6,6,6,0
gq362,6,6,6,0
gq363,6,6,0,0
gq364,6,6,5,4
gq365,6,6,6,0
gq366,6,6,0,0
gs30,6,6,6,0
gs31,6,6,6,0
gs32,6,6,6,0
gs33,6,6,6,0
gs34,6,6,6,0
gs35,6,6,3,1
gs36,6,6,6,0
gs37,6,6,6,0
gs38,6,6,6,0
gs39,6,6,5,0
gs40,6,6,0,0
gs41,6,6,6,1
gs42,6,6,6,0
gs43,6,6,0,0
gs44,6,6,3,0
gs45,6,6,0,0
gs46,6,6,6,0
gs47,6,6,6,0
gs48,6,6,0,0
gs49,6,6,0,0
gs50,6,6,6,0
