image_id,file_name,gt_vertebrae,old_IDR_correct,IDR2_correct,IRA_exact_sequence,old_IDR_false_accepts
DR_214_s1_e13,DR_214_s1_e13.jpg,13,12,0,0,12
DR_224_s3_e15,DR_224_s3_e15.jpg,13,12,0,0,12
DR_227_s3_e15,DR_227_s3_e15.jpg,13,12,0,0,12
DR_228_s1_e12,DR_228_s1_e12.jpg,12,12,12,1,0
DR_23_s1_e12,DR_23_s1_e12.jpg,12,10,0,0,10
DR_241_s2_e15,DR_241_s2_e15.jpg,14,14,14,1,0
DR_257_s2_e13,DR_257_s2_e13.jpg,12,12,12,1,0
DR_261_s3_e14,DR_261_s3_e14.jpg,12,11,0,0,11
DR_270_s2_e15,DR_270_s2_e15.jpg,14,13,0,0,13
DR_277_s4_e14,DR_277_s4_e14.jpg,11,11,11,1,0
DR_281_s2_e15,DR_281_s2_e15.jpg,14,13,0,0,13
DR_282_s4_e13,DR_282_s4_e13.jpg,10,10,10,1,0
DR_288_s2_e12,DR_288_s2_e12.jpg,11,11,11,1,0
DR_290_s3_e14,DR_290_s3_e14.jpg,12,0,0,0,0
DR_292_s4_e13,DR_292_s4_e13.jpg,10,10,10,1,0
DR_297_s2_e14,DR_297_s2_e14.jpg,13,12,0,0,12
DR_298_s3_e13,DR_298_s3_e13.jpg,11,0,0,0,0
DR_29_s4_e14,DR_29_s4_e14.jpg,11,11,11,1,0
DR_303_s4_e13,DR_303_s4_e13.jpg,10,0,0,0,0
DR_304_s1_e13,DR_304_s1_e13.jpg,13,13,13,1,0
DR_307_s2_e14,DR_307_s2_e14.jpg,13,12,0,0,12
DR_317_s2_e12,DR_317_s2_e12.jpg,11,11,11,1,0
DR_321_s3_e15,DR_321_s3_e15.jpg,13,13,13,1,0
DR_334_s3_e12,DR_334_s3_e12.jpg,10,9,0,0,9
DR_340_s1_e13,DR_340_s1_e13.jpg,13,13,13,1,0
DR_341_s3_e12,DR_341_s3_e12.jpg,10,8,0,0,8
DR_346_s3_e13,DR_346_s3_e13.jpg,11,0,0,0,0
DR_355_s4_e14,DR_355_s4_e14.jpg,11,11,11,1,0
DR_366_s2_e15,DR_366_s2_e15.jpg,14,13,0,0,13
DR_36_s2_e13,DR_36_s2_e13.jpg,12,11,0,0,11
DR_370_s3_e15,DR_370_s3_e15.jpg,13,13,13,1,0
DR_376_s1_e13,DR_376_s1_e13.jpg,13,13,13,1,0
DR_37_s1_e13,DR_37_s1_e13.jpg,13,13,13,1,0
DR_380_s2_e14,DR_380_s2_e14.jpg,13,13,13,1,0
DR_383_s4_e14,DR_383_s4_e14.jpg,11,11,11,1,0
DR_385_s1_e12,DR_385_s1_e12.jpg,12,10,0,0,10
DR_390_s2_e14,DR_390_s2_e14.jpg,13,12,0,0,12
DR_391_s3_e13,DR_391_s3_e13.jpg,11,11,11,1,0
DR_393_s1_e13,DR_393_s1_e13.jpg,13,11,0,0,11
DR_395_s3_e12,DR_395_s3_e12.jpg,10,10,10,1,0
DR_3_s1_e13,DR_3_s1_e13.jpg,13,11,0,0,11
DR_407_s2_e15,DR_407_s2_e15.jpg,14,0,0,0,0
DR_409_s1_e12,DR_409_s1_e12.jpg,12,9,0,0,9
DR_420_s1_e12,DR_420_s1_e12.jpg,12,12,12,1,0
DR_426_s3_e12,DR_426_s3_e12.jpg,10,0,0,0,0
DR_428_s2_e12,DR_428_s2_e12.jpg,11,11,11,1,0
DR_429_s4_e13,DR_429_s4_e13.jpg,10,10,10,1,0
DR_436_s2_e14,DR_436_s2_e14.jpg,13,13,13,1,0
DR_437_s4_e14,DR_437_s4_e14.jpg,11,11,11,1,0
DR_43_s3_e12,DR_43_s3_e12.jpg,10,9,0,0,9
DR_444_s2_e14,DR_444_s2_e14.jpg,13,12,0,0,12
DR_449_s3_e14,DR_449_s3_e14.jpg,12,10,0,0,10
DR_457_s3_e15,DR_457_s3_e15.jpg,13,12,0,0,12
DR_464_s3_e14,DR_464_s3_e14.jpg,12,12,12,1,0
DR_473_s3_e14,DR_473_s3_e14.jpg,12,11,0,0,11
DR_477_s2_e15,DR_477_s2_e15.jpg,14,12,0,0,12
DR_482_s3_e15,DR_482_s3_e15.jpg,13,13,13,1,0
DR_487_s4_e13,DR_487_s4_e13.jpg,10,10,10,1,0
DR_48_s2_e15,DR_48_s2_e15.jpg,14,13,0,0,13
DR_494_s1_e12,DR_494_s1_e12.jpg,12,11,0,0,11
DR_495_s3_e15,DR_495_s3_e15.jpg,13,13,13,1,0
DR_504_s2_e12,DR_504_s2_e12.jpg,11,11,11,1,0
DR_508_s4_e13,DR_508_s4_e13.jpg,10,10,10,1,0
DR_52_s3_e15,DR_52_s3_e15.jpg,13,13,13,1,0
DR_69_s1_e12,DR_69_s1_e12.jpg,12,12,12,1,0
DR_76_s4_e13,DR_76_s4_e13.jpg,10,10,10,1,0
DR_82_s3_e14,DR_82_s3_e14.jpg,12,11,0,0,11
DR_85_s1_e13,DR_85_s1_e13.jpg,13,12,0,0,12
DR_88_s1_e13,DR_88_s1_e13.jpg,13,13,13,1,0
DR_91_s3_e12,DR_91_s3_e12.jpg,10,10,10,1,0
DR_97_s3_e13,DR_97_s3_e13.jpg,11,10,0,0,10
DR_9_s1_e13,DR_9_s1_e13.jpg,13,13,13,1,0
gq346,gq346.png,6,6,6,1,0
gq347,gq347.png,6,6,6,1,0
gq348,gq348.png,6,0,0,0,0
gq349,gq349.png,6,0,0,0,0
gq350,gq350.png,6,6,6,1,0
gq351,gq351.png,6,0,0,0,0
gq352,gq352.png,6,0,0,0,0
gq353,gq353.png,6,6,6,1,0
gq354,gq354.png,6,6,6,1,0
gq355,gq355.png,6,6,6,1,0
gq356,gq356.png,6,6,6,1,0
gq357,gq357.png,6,6,6,1,0
gq358,gq358.png,6,0,0,0,0
gq359,gq359.png,6,6,6,1,0
gq360,gq360.png,6,6,6,1,0
gq361,gq361.png,6,6,6,1,0
gq362,gq362.png,6,6,6,1,0
gq363,gq363.png,6,0,0,0,0
gq364,gq364.png,6,6,6,1,0
gq365,gq365.png,6,6,6,1,0
gq366,gq366.png,6,0,0,0,0
gs30,gs30.png,6,6,6,1,0
gs31,gs31.png,6,6,6,1,0
gs32,gs32.png,6,6,6,1,0
gs33,gs33.png,6,6,6,1,0
gs34,gs34.png,6,6,6,1,0
gs35,gs35.png,6,1,0,0,1
gs36,gs36.png,6,6,6,1,0
gs37,gs37.png,6,6,6,1,0
gs38,gs38.png,6,6,6,1,0
gs39,gs39.png,6,6,6,1,0
gs40,gs40.png,6,0,0,0,0
gs41,gs41.png,6,6,6,1,0
gs42,gs42.png,6,6,6,1,0
gs43,gs43.png,6,0,0,0,0
gs44,gs44.png,6,1,0,0,1
gs45,gs45.png,6,0,0,0,0
gs46,gs46.png,6,6,6,1,0
gs47,gs47.png,6,6,6,1,0
gs48,gs48.png,6,0,0,0,0
gs49,gs49.png,6,0,0,0,0
gs50,gs50.png,6,6,6,1,0
